room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5349345,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,0,0.0,2,1.0,,254.0,,"1-bedroom apartment, Seefeld",2017-06-22 20:01:01.580707,47.35494,8.55719,0101000020E61000000551F701481D2140680586AC6EAD4740
4202724,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,3,4.5,2,1.0,,211.0,,"Studio apartment 40m², Lindenstrasse",2017-06-22 20:01:01.577365,47.357042,8.553513,0101000020E61000005BD2510E661B214033A6608DB3AD4740
8803106,1363,16703823,Entire home/apt,,Zurich,,Kreis 4,8,4.5,4,2.0,,233.0,,▫ STYLED 2 BEDROOM Apartments in city hot spot!,2017-06-22 20:01:01.574322,47.376647,8.531589,0101000020E6100000A2D3F36E2C102140799109F835B04740
9121370,1363,16703823,Entire home/apt,,Zurich,,Kreis 11,1,0.0,3,2.0,,234.0,,▹ STYLED 2 BEDROOM Apartments OERLIKON,2017-06-22 20:01:01.571091,47.413187,8.544671,0101000020E6100000C328081EDF162140F110C64FE3B44740
5210463,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,0,0.0,2,1.0,,222.0,,"1-bedroom apartment, Lindenstrasse",2017-06-22 20:01:01.566022,47.356696,8.553659,0101000020E6100000AA454431791B2140984EEB36A8AD4740
15154931,1363,50348083,Entire home/apt,,Zurich,,Kreis 3,28,4.0,4,2.0,,211.0,,Swiss Star Marc Aurel - 2 bedroom apartment,2017-06-22 20:01:01.549104,47.378017,8.509572,0101000020E610000025EA059FE6042140802A6EDC62B04740
13748270,1363,15407049,Entire home/apt,,Zurich,,Kreis 9,11,5.0,4,1.0,,232.0,,Generous City Loft with private parking,2017-06-22 20:00:58.892476,47.385499,8.493753,0101000020E6100000919A7631CDFC204003D2FE0758B14740
16186038,1363,16703823,Entire home/apt,,Zurich,,Kreis 2,0,0.0,2,1.0,,255.0,,∘STYLED JUNIOR 1 BEDROOM APARTMENT Bellariastrasse,2017-06-22 20:00:58.886676,47.353335,8.531311,0101000020E61000009702D2FE071021401EC4CE143AAD4740
3470221,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,3,4.5,2,0.0,,211.0,,"Studio Penthouse Apartment, Seefeld",2017-06-22 20:00:58.880145,47.355776,8.557041,0101000020E6100000F10F5B7A341D2140D15966118AAD4740
6418476,1363,15162480,Entire home/apt,,Zurich,,Kreis 4,0,0.0,2,1.0,,211.0,,"Zurich West, next to Hardbrucke",2017-06-22 20:00:58.877742,47.385486,8.514033,0101000020E6100000292158552F0721406E88F19A57B14740
14680813,1363,91269293,Entire home/apt,,Zurich,,Kreis 6,0,0.0,2,1.0,,297.0,,Apartments  Rigiblick,2017-06-22 20:00:58.872235,47.387969,8.554084,0101000020E61000004679E6E5B01B2140506EDBF7A8B14740
5349018,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,1,0.0,2,1.0,,254.0,,"1-bedroom apartment, Seefeld",2017-06-22 20:00:58.867803,47.356968,8.556329,0101000020E6100000FDA19927D71C2140F9DB9E20B1AD4740
4536649,1363,3734725,Entire home/apt,,Zurich,,Kreis 2,12,5.0,6,2.0,,233.0,,"Spacious, cozy flat @ lake Zurich",2017-06-22 20:00:58.864759,47.364505,8.534465,0101000020E61000009AB67F65A51121403F1D8F19A8AE4740
5691540,1363,16703823,Entire home/apt,,Zurich,,Kreis 3,12,4.0,4,2.0,,260.0,,⦁ STYLED 2 BEDROOM APARTMENTS next to G00GLE HQ,2017-06-22 20:00:58.862138,47.362955,8.521335,0101000020E61000003485CE6BEC0A2140B875374F75AE4740
4281532,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,2,0.0,2,1.0,,222.0,,"1-bedroom apartment, Lindenstrasse",2017-06-22 20:00:58.859095,47.357469,8.553557,0101000020E610000099F1B6D26B1B2140BB2A508BC1AD4740
5176159,1363,16703823,Entire home/apt,,Zurich,,Kreis 4,9,4.0,4,2.0,,221.0,,"◦ STYLED 2 BEDROOM APARTMENTS for 4, Cramerstrasse",2017-06-22 20:00:58.852152,47.37223,8.526851,0101000020E6100000D4BA0D6ABF0D2140884B8E3BA5AF4740
3487718,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,6,4.5,2,1.0,,254.0,,"1-bedroom apartment, Seefeld",2017-06-22 20:00:58.848586,47.354803,8.556073,0101000020E61000009160AA99B51C2140E7C2482F6AAD4740
2806240,1363,13439627,Entire home/apt,,Zurich,,Kreis 8,7,5.0,6,1.0,,207.0,,Ekatarina Apartments Zurich Seefeld,2017-06-22 20:00:56.522578,47.349119,8.563593,0101000020E61000005182FE428F202140C4B46FEEAFAC4740
16250198,1363,24435111,Entire home/apt,,Zurich,,Kreis 2,1,0.0,2,1.0,,265.0,,Liebevoll eingerichtete Wohnung in Seenähe,2017-06-22 20:00:56.518905,47.356188,8.529552,0101000020E610000013109370210F2140249D819197AD4740
790294,1363,4164327,Entire home/apt,,Zurich,,Kreis 3,8,4.5,4,2.0,,233.0,,Large Central Flat for up to 6,2017-06-22 20:00:56.515499,47.363791,8.522007,0101000020E6100000EF906280440B214021CA17B490AE4740
1391738,1363,7524277,Entire home/apt,,Zurich,,Kreis 8,0,0.0,5,2.0,,231.0,,"Bright, comfor. apart. next to lake",2017-06-22 20:00:56.509463,47.35691,8.555697,0101000020E61000007BF83251841C2140C4CE143AAFAD4740
4201898,1363,17484617,Entire home/apt,,Zurich,,Kreis 7,30,4.5,4,2.0,,233.0,,"2-bedroom apartment, Forchstrasse",2017-06-22 20:00:56.507159,47.35976,8.564083,0101000020E61000008A75AA7CCF20214059349D9D0CAE4740
2869148,1363,12886487,Entire home/apt,,Zurich,,Kreis 4,4,5.0,5,3.0,,222.0,,Badenerstrasse VII Apartment,2017-06-22 20:00:56.503025,47.378041,8.513202,0101000020E6100000CC7B9C69C206214009C6C1A563B04740
3184020,1363,12732262,Entire home/apt,,Zurich,,Kreis 3,2,0.0,5,3.0,,211.0,,Zürich - hipp and central,2017-06-22 20:00:56.496436,47.375057,8.516537,0101000020E61000001059A48977082140649126DE01B04740
2868985,1363,12886487,Entire home/apt,,Zurich,,Kreis 8,6,4.5,6,2.0,,307.0,,"Spacious and renovated 3,5 apt – Kreuzplatz II",2017-06-22 20:00:56.494329,47.364192,8.555135,0101000020E6100000DCBA9BA73A1C214080BBECD79DAE4740
9006776,1363,47033828,Entire home/apt,,Zurich,,Kreis 7,0,0.0,2,2.0,,211.0,,modern city apartment,2017-06-22 20:00:56.491382,47.370273,8.553514,0101000020E61000009CC1DF2F661B2140C0CB0C1B65AF4740
8468944,1363,3109303,Entire home/apt,,Zurich,,Kreis 1,4,5.0,4,1.0,,248.0,,Historic apartment in city center,2017-06-22 20:00:56.488797,47.370193,8.531691,0101000020E6100000B32781CD39102140A41AF67B62AF4740
10892010,1363,12886487,Entire home/apt,,Zurich,,Kreis 11,3,5.0,5,2.0,,265.0,,Nice 3.5 room Strawberry Apartment,2017-06-22 20:00:56.475472,47.408908,8.548045,0101000020E6100000FF78AF5A991821405089EB1857B44740
15597068,1363,12886487,Entire home/apt,,Zurich,,Kreis 4,6,4.5,5,2.0,,243.0,,Stauffacher Apartment- Kuenzli,2017-06-22 20:00:53.108526,47.378044,8.52321,0101000020E61000005DE15D2EE20B21407A39ECBE63B04740
2868924,1363,12886487,Entire home/apt,,Zurich,,Kreis 7,4,5.0,6,2.0,,307.0,,Spacious and renovated 3.5 Apt – Kreuzplatz I,2017-06-22 20:00:53.103234,47.364981,8.557274,0101000020E61000007CD28904531D2140A85489B2B7AE4740
3683319,1363,18715465,Entire home/apt,,Zurich,,Kreis 8,27,4.5,6,3.0,,243.0,,B4  3bedroom in the heart of Zurich,2017-06-22 20:00:53.100569,47.362879,8.557277,0101000020E610000040A03369531D2140DDB3AED172AE4740
86645,1363,475053,Entire home/apt,,Zurich,,Kreis 3,43,4.5,3,1.0,,243.0,,Stadium Letzigrund - by Airhome,2017-06-22 20:00:53.097315,47.380384,8.504612,0101000020E61000009B560A815C022140F9F5436CB0B04740
4222482,1363,17484617,Entire home/apt,,Zurich,,Kreis 8,4,4.0,2,1.0,,222.0,,"1-bedroom apartment, Lindenstrasse",2017-06-22 20:00:53.094041,47.356701,8.551967,0101000020E610000045F12A6B9B1A2140AAB9DC60A8AD4740
2920590,1363,12886487,Entire home/apt,,Zurich,,Kreis 8,13,4.5,5,2.0,,233.0,,3 room apartment close to the lake ,2017-06-22 20:00:53.091746,47.362464,8.548773,0101000020E61000000ADB4FC6F81821401AFD683865AE4740
6473595,1363,18715465,Entire home/apt,,Zurich,,Kreis 7,8,4.5,6,3.0,,275.0,,"B2-3BR, castle Neumuenster, 8008 ZH",2017-06-22 20:00:53.088922,47.363422,8.55914,0101000020E610000058C51B99471E2140CE52B29C84AE4740
16284426,1363,34945077,Entire home/apt,,Zurich,,Kreis 11,3,4.5,5,1.0,,210.0,,Cozy and big apartment in Zurich - for 5 persons,2017-06-22 20:00:51.446492,47.42476,8.552885,0101000020E6100000DEE522BE131B2140115322895EB64740
14198468,1363,64169209,Entire home/apt,,Zurich,,Kreis 8,1,0.0,4,2.0,,211.0,,3-room appartment in the heart of Zurich (Seefeld),2017-06-22 20:00:51.443985,47.361237,8.550278,0101000020E6100000A56ABB09BE192140768D96033DAE4740
13078820,1363,11368311,Entire home/apt,,Zurich,,Kreis 8,0,0.0,7,5.0,,275.0,,Perfect Zurich-location for a family,2017-06-22 20:00:51.441076,47.352055,8.577854,0101000020E6100000BFB9BF7ADC27214057B2632310AD4740
1126401,1363,5924039,Entire home/apt,,Zurich,,Kreis 5,2,0.0,6,4.0,,211.0,,Family apartment in Zürich Kreis 5,2017-06-22 20:00:51.427791,47.386057,8.531186,0101000020E6100000A52F849CF70F214029B2D6506AB14740
8979998,1363,1578438,Entire home/apt,,Zurich,,Kreis 5,1,0.0,4,2.0,,265.0,,Brand-New Modern Zurich-West Flat,2017-06-22 20:00:51.425060,47.392237,8.509499,0101000020E61000007DB08C0DDD042140FDA36FD234B24740
11059645,1363,4452206,Entire home/apt,,Zurich,,Kreis 9,11,5.0,4,2.0,,238.0,,Modern city loft apartment 10MIN f CITY,2017-06-22 20:00:51.422129,47.388982,8.492875,0101000020E61000003108AC1C5AFC2040C85D8429CAB14740
999786,1363,4374089,Entire home/apt,,Zurich,,Kreis 2,0,0.0,2,1.0,,211.0,,"135m2 Wohnung, 2 Katzen, Garten",2017-06-22 20:00:51.416828,47.333813,8.53047,0101000020E6100000AB048BC3990F214065FD6662BAAA4740
15947196,1363,91034748,Entire home/apt,,Zurich,,Kreis 7,0,0.0,4,2.0,,211.0,,Traumwohnung in altem Bauernhaus,2017-06-22 20:00:51.414307,47.357293,8.586806,0101000020E6100000723106D6712C21407C0BEBC6BBAD4740
3305671,1363,16695199,Entire home/apt,,Zurich,,Kreis 1,0,0.0,2,1.0,,248.0,,Premium Duplex Loft 140m2 Rennweg ,2017-06-22 20:00:51.411147,47.372144,8.540207,0101000020E6100000FB230C039614214089B3226AA2AF4740
2920698,1363,12886487,Entire home/apt,,Zurich,,Kreis 1,12,4.5,5,2.0,,265.0,,3 room apartment in a historic town - S3,2017-06-22 20:00:51.403989,47.374469,8.542725,0101000020E610000076711B0DE0152140D32EA699EEAF4740
9230066,1363,2576851,Entire home/apt,,Zurich,,Kreis 4,1,0.0,4,2.0,,231.0,,Newly Renovated Zurich Apartment,2017-06-22 20:00:49.139087,47.377103,8.515085,0101000020E610000000529B38B90721409B1C3EE944B04740
12742914,1363,18844371,Entire home/apt,,Zurich,,Kreis 3,7,5.0,4,2.0,,210.0,,Spacious flat in trendy quarter,2017-06-22 20:00:49.137034,47.373731,8.517034,0101000020E610000013D731AEB80821402D40DB6AD6AF4740
